time,cooler,fan
1531226690.1191535,5.0,6.0
1531226753.45211,5.0,6.0
1531226822.7806199,5.0,6.0
1531226883.5002427,5.0,6.0
1531226944.6296186,5.0,6.0
1531227005.353799,5.0,6.0
1531227066.0766046,5.0,6.0
1531227241.1893313,0.0,0.0
1531227301.9013336,1.0,0.0
1531227362.6261716,1.0,0.0
1531227423.347965,1.0,0.0
1531227436.9641654,1.0,0.0
1531227497.693984,1.0,0.0
1531227558.4113555,0.0,0.0
1531227619.1312482,0.0,0.0
1531227679.8541608,0.0,0.0
1531227740.5773635,0.0,0.0
1531227805.089256,0.0,0.0
1531227865.8130288,0.0,0.0
1531227926.5342195,0.0,0.0
1531227987.2577214,0.0,0.0
1531228047.982985,0.0,0.0
1531228108.7038734,0.0,0.0
1531228169.4273493,0.0,0.0
1531228230.148779,0.0,0.0
1531228290.8738213,0.0,0.0
1531228351.6974494,0.0,0.0
1531228412.4188788,0.0,0.0
1531228473.1451526,0.0,0.0
1531228533.8660266,0.0,0.0
1531228594.5900993,0.0,0.0
1531228655.3129401,0.0,0.0
1531228716.0344243,0.0,0.0
1531228776.7562125,0.0,0.0
1531228837.479438,0.0,0.0
1531228898.2079825,0.0,0.0
1531228958.9249728,0.0,0.0
1531229019.6515446,0.0,0.0
1531229080.3743248,0.0,0.0
1531229141.1009605,0.0,0.0
1531229201.8186364,0.0,0.0
1531229262.5404234,0.0,0.0
1531229323.261539,0.0,0.0
1531229383.9890158,1.0,0.0
1531229444.7117875,1.0,0.0
1531229505.4328954,1.0,1.0
1531229566.1520965,1.0,1.0
1531229626.876751,1.0,1.0
1531229687.5979571,1.0,1.0
1531229748.3227375,1.0,1.0
1531229809.0466852,1.0,1.0
1531229869.7690918,1.0,1.0
1531229930.6975465,1.0,1.0
1531229991.4199762,1.0,1.0
1531230052.1512716,1.0,0.0
1531230112.8611922,1.0,0.0
1531230173.5881474,1.0,0.0
1531230234.3083494,1.0,0.0
1531230295.0323687,1.0,0.0
1531230355.7573779,1.0,0.0
1531230416.4808042,1.0,0.0
1531230477.2013636,1.0,0.0
1531230537.9212134,1.0,0.0
1531230598.6447012,1.0,0.0
1531230659.36745,1.0,0.0
1531230720.2939265,1.0,0.0
1531230781.018312,1.0,0.0
1531230841.7414908,1.0,0.0
1531230902.4637673,1.0,0.0
1531230963.185884,1.0,0.0
1531231023.910123,1.0,0.0
1531231084.6319602,1.0,0.0
1531231145.3536098,1.0,0.0
1531231206.0770268,1.0,0.0
1531231266.8005927,1.0,0.0
1531231327.5209622,1.0,0.0
1531231388.554958,1.0,0.0
1531231449.276225,1.0,0.0
1531231516.3450985,1.0,1.0
1531231577.0793624,1.0,1.0
1531231638.0963929,1.0,1.0
1531231702.090964,1.0,1.0
1531231762.933529,1.0,1.0
1531231823.6497462,1.0,1.0
1531231884.4800901,1.0,1.0
1531231945.1966715,1.0,1.0
1531232005.923265,1.0,1.0
1531232066.642141,1.0,1.0
1531232127.3694608,1.0,1.0
1531232188.369175,1.0,1.0
1531232249.2285526,1.0,1.0
1531232310.0784695,1.0,1.0
1531234848.6737075,1.0,0.0
1531234909.6802404,1.0,0.0
1531234970.6072905,1.0,0.0
1531235031.6338642,1.0,0.0
1531235092.3592856,1.0,0.0
1531235153.0804892,1.0,0.0
1531235213.8014708,1.0,0.0
1531235274.5250952,1.0,0.0
1531235335.2477815,1.0,0.0
1531235395.9705186,1.0,0.0
1531235456.6952314,1.0,0.0
1531235517.4161274,1.0,0.0
1531235578.1423118,1.0,0.0
1531235638.8634243,1.0,0.0
1531235699.58669,1.0,0.0
1531235760.3075802,1.0,0.0
1531235821.0291464,1.0,0.0
1531235881.754552,1.0,0.0
1531235942.681702,1.0,0.0
1531236003.402567,1.0,0.0
1531236064.1290405,1.0,0.0
1531236124.847378,1.0,0.0
1531236185.5751624,1.0,0.0
1531236246.2955794,1.0,0.0
1531236307.0197976,1.0,0.0
1531236367.7421815,1.0,0.0
1531236428.4663663,1.0,0.0
1531236491.141567,1.0,0.0
1531236552.2638905,1.0,0.0
1531236614.942581,1.0,0.0
1531236675.6567516,1.0,0.0
1531236736.3797119,1.0,0.0
1531236797.1028266,1.0,0.0
1531236857.8239913,1.0,0.0
1531236927.2478216,1.0,0.0
1531236988.1773806,1.0,0.0
1531237048.9079106,1.0,0.0
1531237109.6235905,1.0,0.0
1531237170.345511,1.0,0.0
1531237231.0698712,1.0,0.0
1531237291.7899082,1.0,0.0
1531237352.5152981,1.0,0.0
1531237413.233313,1.0,0.0
1531237473.9644005,1.0,0.0
1531237534.6787329,1.0,0.0
1531237600.5226624,1.0,0.0
